filename,width,height,class,xmin,ymin,xmax,ymax
0107.png.jpg,741,771,Mask,552,222,652,312
0127.jpg.jpg,852,480,Mask,338,218,554,391
0161.jpg.jpg,1400,950,Mask,560,334,887,581
0211.jpg.jpg,862,1149,Mask,142,445,706,856
0248.jpg.jpg,3000,2000,Mask,1200,794,2130,1415
0273.jpg.jpg,1200,800,Mask,441,294,800,584
0493.jpg.jpg,1800,1800,Mask,387,896,1376,1589
0791.jpg.jpg,1023,731,Mask,539,197,801,427
0831.jpg.jpg,769,1024,Mask,126,508,675,914
1080.jpg.jpg,683,1024,NoMask,78,374,323,556
1081.jpg.jpg,700,467,NoMask,329,185,521,361
1088.jpg.jpg,768,1024,NoMask,291,292,551,495
1096.jpg.jpg,1200,630,Mask,272,151,760,561
1097.jpg.jpg,819,1023,NoMask,180,424,718,845
1109.jpg.jpg,910,480,Mask,272,167,513,360
1138.jpg.jpg,736,1104,NoMask,174,405,560,807
1165.jpg.jpg,731,1024,NoMask,188,345,512,565
1176.jpg.jpg,4928,3264,NoMask,1035,1851,2735,2962
1195.jpg.jpg,4231,2282,Mask,1294,1224,2609,2151
1201.jpg.jpg,2048,1462,NoMask,192,609,870,1115
1214.jpg.jpg,4364,3018,Mask,1807,1148,2685,1864
1222.jpg.jpg,468,469,NoMask,56,238,345,455
1223.jpg.jpg,1392,788,Mask,623,326,1001,595
1234.jpg.jpg,700,875,Mask,277,292,700,679
1240.jpg.jpg,683,1024,NoMask,145,448,517,828
1264.jpg.jpg,720,938,Mask,191,475,501,724
1298.jpg.jpg,1000,1000,NoMask,255,429,619,709
6072.jpg.jpg,2548,1427,NoMask,1176,524,1832,952
6087.png.jpg,640,480,NoMask,279,168,442,265
6092.jpg.jpg,800,600,NoMask,199,278,489,437
6098.jpg.jpg,1484,989,NoMask,412,373,781,660
6111.jpg.jpg,1280,1922,NoMask,535,481,943,732
6119.jpg.jpg,4253,2831,NoMask,657,1547,2117,2302
6125.jpg.jpg,866,1192,NoMask,257,458,651,755
6137.png.jpg,658,700,NoMask,206,210,440,397
6139.jpg.jpg,620,464,NoMask,280,145,371,207
6148.jpg.jpg,1323,1536,NoMask,339,585,1061,1011
6149.jpg.jpg,1024,684,NoMask,450,278,694,432
6152.jpg.jpg,960,540,NoMask,342,225,655,463
6156.jpg.jpg,1024,679,NoMask,463,357,617,467
6166.png.jpg,960,741,NoMask,304,308,659,573
6182.jpg.jpg,1024,968,NoMask,703,388,842,481
6249.jpg.jpg,460,460,NoMask,201,149,341,231
6323.jpg.jpg,1111,1672,NoMask,329,291,555,436
6324.jpg.jpg,1024,576,NoMask,516,243,717,389
6329.jpg.jpg,1400,786,NoMask,532,239,912,514
6337.jpg.jpg,3872,2592,NoMask,1341,1063,2583,2033
6339.jpg.jpg,960,667,NoMask,568,141,692,231
6354.jpg.jpg,1160,1031,NoMask,481,349,802,619
6356.jpeg.jpg,700,1050,NoMask,301,401,489,518
6357.jpg.jpg,1080,1350,NoMask,456,441,741,716
6362.jpg.jpg,710,568,NoMask,330,181,479,283
6365.jpg.jpg,1257,1008,NoMask,462,306,716,492
6366.jpg.jpg,1400,788,NoMask,591,255,890,481
IMG_0341.jpg.jpg,3024,4032,Mask,616,1968,2474,3264
IMG_0342.jpg.jpg,3024,4032,Mask,474,1747,2591,3185
IMG_0345.jpg.jpg,3024,4032,NoMask,936,2718,2395,3485
IMG_0346.jpg.jpg,3024,4032,Mask,720,1851,2278,2860
IMG_0347.jpg.jpg,3024,4032,Mask,711,1826,2336,2864
IMG_0348.jpg.jpg,4032,3024,Mask,1485,1429,2644,2089
IMG_0349.jpg.jpg,4032,3024,Mask,1400,1448,2763,2317
IMG_0350.jpg.jpg,4032,3024,Mask,1416,1273,2725,2054
IMG_0351.jpg.jpg,4032,3024,Mask,1510,1464,2747,2348
IMG_0352.jpg.jpg,4032,3024,Mask,1410,1423,2641,2210
IMG_0353.jpg.jpg,4032,3024,Mask,1494,1370,2763,2207
IMG_0354.jpg.jpg,4032,3024,Mask,1426,1413,2635,2251
IMG_0357.jpg.jpg,4032,3024,Mask,1357,1479,2725,2507
IMG_0360.jpg.jpg,4032,3024,Mask,1113,1076,2388,2054
IMG_0361.jpg.jpg,4032,3024,Mask,1416,1314,2866,2307
IMG_0363.jpg.jpg,4032,3024,Mask,1694,1157,3060,2167
IMG_0364.jpg.jpg,4032,3024,Mask,1275,1251,2404,2023
IMG_0365.jpg.jpg,4032,3024,Mask,982,1548,2582,2289
IMG_0366.jpg.jpg,4032,3024,Mask,1235,1307,2644,2204
IMG_0368.jpg.jpg,4032,3024,Mask,1263,920,2366,1795
IMG_0372.jpg.jpg,4032,3024,Mask,897,1373,2944,2517
IMG_0373.jpg.jpg,4032,3024,Mask,1300,1448,3188,2714
IMG_0376.jpg.jpg,4032,3024,Mask,1179,1248,2463,2051
IMG_0377.jpg.jpg,4032,3024,Mask,1469,2029,2741,2714
IMG_0378.jpg.jpg,4032,3024,Mask,1488,1385,2982,2451
IMG_0384.jpg.jpg,4032,3024,Mask,332,1589,1907,2548
IMG_0391.jpg.jpg,4032,3024,NoMask,1710,1317,2907,2251
IMG_0396.jpg.jpg,4032,3024,NoMask,1572,1385,2844,2460
IMG_0397.jpg.jpg,4032,3024,NoMask,1110,1517,2535,2567
IMG_0404.jpg.jpg,4032,3024,NoMask,1082,1060,2813,2214
IMG_0405.jpg.jpg,4032,3024,Mask,732,1317,2147,2214
IMG_0406.jpg.jpg,4032,3024,Mask,1285,1192,2660,2126
IMG_0407.jpg.jpg,4032,3024,Mask,2000,1092,3410,1885
IMG_0409.jpg.jpg,4032,3024,Mask,1554,1289,3104,2360
IMG_0410.jpg.jpg,4032,3024,Mask,1582,1232,3107,2335
IMG_0411.jpg.jpg,4032,3024,Mask,1847,1385,3360,2329
IMG_0413.jpg.jpg,4032,3024,Mask,1607,1276,3016,2207
IMG_0414.jpg.jpg,4032,3024,Mask,1597,1185,3110,2139
IMG_0417.jpg.jpg,4032,3024,NoMask,1479,1048,3229,2089
